Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C207, C210",0603,3,22nF/25V,
"C202, C208, C209",0603,3,0.01uF/25V,
"C203, C217",0603,2,0.1uF/25V,
"C204, C216, C218, C305, C306, C308, C309, C312, C313",0805,9,1uF,
C205,0603,1,2000pF/25V,
"C206, C211",0603,2,0.47uF/25V,
"C212, C301, C307, C310, C314, C315",0603,6,0.1uF,
"C213, C303",0805,2,10uF,
"C214, C219",0805,2,22uF,
C215,0805,1,4.7uF,
"C302, C304",0603,2,16pF,
C311,0603,1,2.2uF,
"D201, D203",0603,2,LED RED,
"D202, D301",D_SOD-323_HandSoldering,2,NSR0340HT1G,
D204,0603,1,LED GREEN,
FB101,0805,1,MH2029-601Y,
J101,USB_C_5077CR-16-SMC2-BK-TR,1,USB4105-GF-A,
J201,JST_PH_B2B-PH-K_1x02_P2.00mm_Vertical,1,LiPo BATTERY,
J301,HRS_FH34SRJ-24S-0.5SH_50_,1,FH34SRJ-24S-0.5SH50,
L101,PinHole_1x02_P4.5mm_Vertical,1,WR483265-15F5-G,
"Q201, Q202, Q203, Q301",MSOP-8_3x3mm_P0.65mm,4,IRF7606TRPBF,
"R101, R102",0603,2,5.1K,
"R202, R303",0603,2,1K,
"R203, R208, R301, R302, R304, R308, R310, R311, R312, R313, R314, R315, R316, R317, R318, R319, R320, R321",0603,18,10K,
R204,0603,1,110 1%,
R207,0603,1,150 1%,
R209,0603,1,2K,
R210,0603,1,100K,
"R211, R212",0603,2,330,
"R305, R306",0603,2,51K 1%,
"R307, R309",0603,2,4.7K,
"SW301, SW302",WS-TASV SMT Tact Switch,2,3.5x2.6 Tact SW,
TP301,TestPoint_Pad_3.2x1.6mm,1,TOUCHSW,
U201,RHL20_2P05X3P05,1,BQ51013BRHLR,
U202,SOT-223-3_TabPin2,1,LD1117S33TR_SOT223,
U203,SOT-23-5,1,MCP73831-2-OT,
U301,ESP32-S3-WROOM-1_EXP,1,ESP32-S3-WROOM-1-N16R8,
U302,SOT-23,1,MCP1700T-1802E/TT,
U303,SOT-23,1,MCP1700T-2802E/TT,
U304,EM32VSUKN FPGA153,1,"FEMC064G-M11
",
Y301,Crystal_SMD_3215-2Pin_3.2x1.5mm,1,32.7680KHz,
